fit_time,fit_time_std,score_time,score_time_std,neg_mean_absolute_error,neg_mean_absolute_error_std,max_minutes_between_events,estimator,n_samples,input_varid,output_varid
1.85558828830719,0.14112759275466094,0.2989756107330322,0.031775038697168044,-1.1822281411990907,0.02079946977841144,30,SGDRegressor,3500,Visite_ZNS,RASS
12.024059162139892,0.7302202681989443,4.084882397651672,0.339832986960476,-1.0812469669272713,0.024727110306801286,30,SVR,3500,Visite_ZNS,RASS
1.8526802396774293,0.04703668697420795,0.2985265874862671,0.010155124609830984,-1.153959879064828,0.023182803647753093,30,SGDRegressor,4000,Visite_ZNS,RASS
15.395661306381225,0.8659709625748615,5.32783821105957,0.3601354641118947,-1.0635933686791312,0.02101644151946093,30,SVR,4000,Visite_ZNS,RASS
2.176808123588562,0.27896246605507724,0.36099805355072023,0.0493244744744668,-1.1520489331414463,0.02112525884102272,30,SGDRegressor,4500,Visite_ZNS,RASS
18.963444709777836,0.6059212503902629,6.468913931846619,0.33995877240630784,-1.0781607498687973,0.022423125551202645,30,SVR,4500,Visite_ZNS,RASS
2.317665839195251,0.060863596172524514,0.39270357131958006,0.01213212344860251,-1.1365066337484453,0.020351696170652432,30,SGDRegressor,5000,Visite_ZNS,RASS
22.351496324539184,0.5948406869501459,7.729178609848022,0.3724007391282832,-1.039829152109379,0.022643708554649446,30,SVR,5000,Visite_ZNS,RASS
2.3029339551925663,0.09903742846173007,0.402139253616333,0.011401049021829635,-1.1395107459950393,0.023320323728808122,30,SGDRegressor,5500,Visite_ZNS,RASS
26.940278706550593,0.2925929780019374,9.19255968093872,0.11257488068607943,-1.0409171819554024,0.016591212090462864,30,SVR,5500,Visite_ZNS,RASS
2.696000647544861,0.026402946321295813,0.479249758720398,0.008151964165372248,-1.138109422052493,0.02066944239558071,30,SGDRegressor,6000,Visite_ZNS,RASS
31.867508983612062,0.42600018535456,11.00332718372345,0.36116825258750185,-1.028489946559944,0.0194753712667839,30,SVR,6000,Visite_ZNS,RASS
2.922710814476013,0.042032321416237584,0.5195373964309693,0.009905073858062063,-1.1346477202781062,0.018807929492296392,30,SGDRegressor,6500,Visite_ZNS,RASS
37.01932542800903,0.22384793749610835,12.63443699836731,0.07076127393586465,-1.012080286599115,0.020341412443064758,30,SVR,6500,Visite_ZNS,RASS
3.1706391620635985,0.050502005610532655,0.5775988531112671,0.01854536180106697,-1.130521348480241,0.01601411164067655,30,SGDRegressor,7000,Visite_ZNS,RASS
43.68209814071655,0.9579032406655269,15.00860391139984,0.33378118851510546,-1.0277611275851632,0.019214447767359498,30,SVR,7000,Visite_ZNS,RASS
3.3614015579223633,0.029610630259636856,0.6124247074127197,0.010714788972634073,-1.1311628192407908,0.016511531900845467,30,SGDRegressor,7500,Visite_ZNS,RASS
49.762284102439885,0.801053568967142,16.95614279270172,0.2798049448397978,-1.0166018124408907,0.013697748960406448,30,SVR,7500,Visite_ZNS,RASS
