elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
tanh,50,1.112246817619231,2,50,1,15
rbf_l2,50,1.1203444332551808,2,50,1,15
lin,75,1.1103223524825603,2,50,1,15
tanh,75,1.0890923032396371,2,50,1,15
rbf_l2,75,1.0728655177212298,2,50,1,15
lin,87,1.1172098748546744,2,50,1,15
tanh,87,1.0664075008145517,2,50,1,15
rbf_l2,87,1.0748915904130247,2,50,1,15
lin,100,1.1237527657700457,2,50,1,15
tanh,100,1.0761926536716528,2,50,1,15
rbf_l2,100,1.077358208791612,2,50,1,15
lin,25,1.188467053590784,2,50,3,15
tanh,25,1.1692181963431498,2,50,3,15
rbf_l2,25,1.1899663600015937,2,50,3,15
lin,37,1.1543736081405913,2,50,3,15
tanh,37,1.1510035331494077,2,50,3,15
rbf_l2,37,1.142243458709947,2,50,3,15
lin,50,1.1208361603330306,2,50,3,15
tanh,50,1.1166940647933816,2,50,3,15
rbf_l2,50,1.1146120894767,2,50,3,15
lin,75,1.1111800644034284,2,50,3,15
tanh,75,1.08314723563177,2,50,3,15
rbf_l2,75,1.0964094982647885,2,50,3,15
lin,87,1.1128234866085702,2,50,3,15
tanh,87,1.0792985118926608,2,50,3,15
rbf_l2,87,1.0940353335753508,2,50,3,15
lin,100,1.1099550243802825,2,50,3,15
tanh,100,1.0559897942162644,2,50,3,15
rbf_l2,100,1.0659875527773628,2,50,3,15
lin,25,1.2114679004020046,2,50,5,15
tanh,25,1.1826698061693945,2,50,5,15
rbf_l2,25,1.2191040508072128,2,50,5,15
lin,37,1.162150823227325,2,50,5,15
tanh,37,1.1345859190531074,2,50,5,15
rbf_l2,37,1.1528894308290691,2,50,5,15
lin,50,1.1167816211164208,2,50,5,15
tanh,50,1.1210475986999844,2,50,5,15
rbf_l2,50,1.1188385174510675,2,50,5,15
lin,75,1.1155021227149804,2,50,5,15
tanh,75,1.0728279060534334,2,50,5,15
rbf_l2,75,1.1008206631267652,2,50,5,15
lin,87,1.1072463200590938,2,50,5,15
tanh,87,1.084708799674234,2,50,5,15
rbf_l2,87,1.0795098408129031,2,50,5,15
lin,100,1.110467457329914,2,50,5,15
tanh,100,1.068060675591998,2,50,5,15
rbf_l2,100,1.075813991254719,2,50,5,15
lin,25,1.1517500786036496,5,50,1,15
tanh,25,1.16417662256725,5,50,1,15
rbf_l2,25,1.173603491471297,5,50,1,15
lin,37,1.1055328883574804,5,50,1,15
tanh,37,1.1266676314796358,5,50,1,15
rbf_l2,37,1.1187814466759152,5,50,1,15
lin,50,1.0934421366761082,5,50,1,15
