elm_func,elm_n_neurons,MAE,w2vwindow_size,w2vdimensions,w2vword_min_count,w2vtraining_epochs
sigm,150,1.0512160980728855,2,100,1,15
lin,150,1.0890625725148477,2,100,1,15
tanh,150,1.0621150636297951,2,100,1,15
rbf_l2,150,1.053997088298674,2,100,1,15
rbf_linf,150,1.0884746034069983,2,100,1,15
sigm,175,1.0524854036500653,2,100,1,15
lin,175,1.0841429291774713,2,100,1,15
tanh,175,1.0642261825113217,2,100,1,15
rbf_l2,175,1.0538005612105623,2,100,1,15
rbf_linf,175,1.1154846431552432,2,100,1,15
sigm,200,1.0349100922857444,2,100,1,15
lin,200,1.0846561552748932,2,100,1,15
tanh,200,1.0409588574229012,2,100,1,15
rbf_l2,200,1.0407374597339314,2,100,1,15
rbf_linf,200,1.0726550209228563,2,100,1,15
sigm,33,1.1615020481327678,2,100,1,15
lin,33,1.1662627886367372,2,100,1,15
tanh,33,1.170738754456415,2,100,1,15
rbf_l2,33,1.1616821679478329,2,100,1,15
rbf_linf,33,1.1581919705101895,2,100,1,15
sigm,50,1.1241452199472834,2,100,1,15
lin,50,1.122070704442732,2,100,1,15
tanh,50,1.1410559686282677,2,100,1,15
rbf_l2,50,1.1295160113731864,2,100,1,15
rbf_linf,50,1.0971407789515852,2,100,1,15
sigm,75,1.094579678413318,2,100,1,15
lin,75,1.104819737515797,2,100,1,15
tanh,75,1.0846934183339225,2,100,1,15
rbf_l2,75,1.1029810860160354,2,100,1,15
rbf_linf,75,1.1157953692801097,2,100,1,15
sigm,100,1.08826655767554,2,100,1,15
lin,100,1.084167153905154,2,100,1,15
tanh,100,1.0733634745011542,2,100,1,15
rbf_l2,100,1.082110400340958,2,100,1,15
rbf_linf,100,1.0861963391904594,2,100,1,15
sigm,125,1.0774739054501388,2,100,1,15
lin,125,1.0860505358179906,2,100,1,15
tanh,125,1.0637731794178158,2,100,1,15
rbf_l2,125,1.0557737490659913,2,100,1,15
rbf_linf,125,1.076081456593967,2,100,1,15
sigm,150,1.0378672298772476,2,100,1,15
lin,150,1.088983953629281,2,100,1,15
tanh,150,1.0498850352018128,2,100,1,15
rbf_l2,150,1.0502869289000898,2,100,1,15
rbf_linf,150,1.1117228134371788,2,100,1,15
sigm,175,1.0518350590245473,2,100,1,15
lin,175,1.0876436101159912,2,100,1,15
tanh,175,1.0472893925811895,2,100,1,15
rbf_l2,175,1.0485270360235028,2,100,1,15
rbf_linf,175,1.1217149848230132,2,100,1,15
sigm,200,1.0441103352903731,2,100,1,15
lin,200,1.0796107178739787,2,100,1,15
tanh,200,1.0430911924755135,2,100,1,15
rbf_l2,200,1.0415337673417622,2,100,1,15
rbf_linf,200,1.0717999164544767,2,100,1,15
sigm,33,1.20731186414984,2,100,1,15
lin,33,1.1596113962360826,2,100,1,15
tanh,33,1.1583971818806202,2,100,1,15
rbf_l2,33,1.1929346851367826,2,100,1,15
rbf_linf,33,1.1860699583885692,2,100,1,15
sigm,50,1.1589902060202328,2,100,1,15
lin,50,1.137408614716073,2,100,1,15
tanh,50,1.105610929885168,2,100,1,15
rbf_l2,50,1.1147399573950396,2,100,1,15
rbf_linf,50,1.1239628548133154,2,100,1,15
sigm,75,1.097951641545873,2,100,1,15
lin,75,1.1035480075521862,2,100,1,15
tanh,75,1.0998423656667964,2,100,1,15
rbf_l2,75,1.0953160234098958,2,100,1,15
rbf_linf,75,1.1117778812023649,2,100,1,15
sigm,100,1.083018194282024,2,100,1,15
lin,100,1.0915822633909777,2,100,1,15
tanh,100,1.081570528611012,2,100,1,15
rbf_l2,100,1.090251299203904,2,100,1,15
rbf_linf,100,1.1036103748693988,2,100,1,15
sigm,125,1.0726596032729667,2,100,1,15
lin,125,1.084820299725333,2,100,1,15
tanh,125,1.0671671973290757,2,100,1,15
rbf_l2,125,1.0582491202558502,2,100,1,15
rbf_linf,125,1.0757105706066228,2,100,1,15
sigm,150,1.0631094236738872,2,100,1,15
lin,150,1.0830710455426817,2,100,1,15
tanh,150,1.0405520114351754,2,100,1,15
rbf_l2,150,1.0568852289908883,2,100,1,15
rbf_linf,150,1.0696662310224903,2,100,1,15
sigm,175,1.0546683333255193,2,100,1,15
lin,175,1.08132343459696,2,100,1,15
tanh,175,1.0441579591528503,2,100,1,15
rbf_l2,175,1.0442945896806124,2,100,1,15
rbf_linf,175,1.078430250119334,2,100,1,15
sigm,200,1.0433143459386798,2,100,1,15
lin,200,1.0839170418807147,2,100,1,15
tanh,200,1.0438230547688194,2,100,1,15
rbf_l2,200,1.049813648150887,2,100,1,15
rbf_linf,200,1.0664672129897883,2,100,1,15
sigm,33,1.1467865320801065,5,100,1,15
lin,33,1.1576856515472311,5,100,1,15
tanh,33,1.1961756723852823,5,100,1,15
rbf_l2,33,1.2013595119502185,5,100,1,15
rbf_linf,33,1.1570222893445137,5,100,1,15
sigm,50,1.140413956886708,5,100,1,15
