estimator,r2_performance_mean,r2_performance_std,analyzer,ngram_range,stop_words,tfidf__use_idf,sgd__loss,sgd__penalty,sgd__alpha,sgd__learning_rate
SGDRegression,-0.27364499497742634,0.017321014325966944,char,"(1,9)",yes,False,huber,elasticnet,0.001,invscaling
SGDRegression,0.4272344093474067,0.00889297397653913,char,"(1,9)",yes,True,squared_loss,l1,0.001,constant
SGDRegression,0.46861668175696813,0.007275874823438081,char,"(1,9)",yes,False,squared_loss,l1,0.001,constant
SGDRegression,0.5160135377639741,0.008268625418618777,char,"(1,9)",yes,True,squared_loss,l2,0.001,constant
SGDRegression,0.5271144818075136,0.005032523523120262,char,"(1,9)",yes,False,squared_loss,l2,0.001,constant
SGDRegression,0.47443948078792086,0.009531381254131615,char,"(1,9)",yes,True,squared_loss,elasticnet,0.001,constant
SGDRegression,0.5021982372963827,0.006927751879634653,char,"(1,9)",yes,False,squared_loss,elasticnet,0.001,constant
SGDRegression,-0.3101017822829203,0.016671660326685322,char,"(1,9)",yes,True,huber,l1,0.001,constant
SGDRegression,-0.16777754707906095,0.028029338570790846,char,"(1,9)",yes,False,huber,l1,0.001,constant
SGDRegression,-0.05918812831574707,0.021319590930387614,char,"(1,9)",yes,True,huber,l2,0.001,constant
SGDRegression,0.17062335769565465,0.008297095156792458,char,"(1,9)",yes,False,huber,l2,0.001,constant
SGDRegression,-0.2864299967736982,0.0171355350974132,char,"(1,9)",yes,True,huber,elasticnet,0.001,constant
SGDRegression,0.050062422605222645,0.007298843952784364,char,"(1,9)",yes,False,huber,elasticnet,0.001,constant
SGDRegression,0.4285355179184595,0.008554024127760716,char,"(1,9)",yes,True,squared_loss,l1,0.001,optimal
SGDRegression,-4604556683.946825,7220255136.831863,char,"(1,9)",yes,False,squared_loss,l1,0.001,optimal
SGDRegression,0.5172501600955174,0.008473137635579988,char,"(1,9)",yes,True,squared_loss,l2,0.001,optimal
SGDRegression,-2694.643385986699,5207.933981429031,char,"(1,9)",yes,False,squared_loss,l2,0.001,optimal
SGDRegression,0.475564765433956,0.009136746606159358,char,"(1,9)",yes,True,squared_loss,elasticnet,0.001,optimal
SGDRegression,-1352.5917471048472,2561.6160602993614,char,"(1,9)",yes,False,squared_loss,elasticnet,0.001,optimal
