estimator,scoring_method,performance_mean,performance_std,vect__analyzer,vect__ngram_range,vect__stop_words,tfidf__use_idf,svr__kernel,svr__gamma,svr__C
SVR,r2,0.4648439458483399,0.03261251466930777,word,"(1, 6)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.5168662723971698,0.028800870163988468,word,"(1, 1)",No,False,linear,N/A,1
SVR,r2,0.5159123028779354,0.030522482773312497,word,"(1, 1)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.5362649145033835,0.026224202945883946,word,"(1, 3)",No,False,linear,N/A,1
SVR,r2,0.523366262880716,0.027072902692491057,word,"(1, 3)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.4954907871822976,0.02802432933325543,word,"(1, 6)",No,False,linear,N/A,1
SVR,r2,0.4796091224281193,0.029424185911528945,word,"(1, 6)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.4124263912208833,0.030503860954331243,word,"(1, 1)",No,True,linear,N/A,10
SVR,r2,0.4072198165807702,0.03298831527436289,word,"(1, 1)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.49358357835052474,0.02324012289032054,word,"(1, 3)",No,True,linear,N/A,10
SVR,r2,0.4716236886495523,0.030048012781625465,word,"(1, 3)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.45407076780905536,0.02427966894550254,word,"(1, 6)",No,True,linear,N/A,10
SVR,r2,0.43222036124734514,0.028745248673318468,word,"(1, 6)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.4692299215164697,0.025400993558412473,word,"(1, 1)",No,False,linear,N/A,10
SVR,r2,0.45888168931970164,0.02762803415132337,word,"(1, 1)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.5102230156550002,0.02609313735560425,word,"(1, 3)",No,False,linear,N/A,10
SVR,r2,0.4920038422370633,0.02703000611169225,word,"(1, 3)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.48958448929115284,0.02665663490455589,word,"(1, 6)",No,False,linear,N/A,10
SVR,r2,0.4674954447292129,0.027905813685671833,word,"(1, 6)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.16583347784109148,0.05414778635848108,word,"(1, 1)",No,True,linear,N/A,100
SVR,r2,0.15895712933186082,0.05440131470324251,word,"(1, 1)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4530840578945073,0.021283927938216863,word,"(1, 3)",No,True,linear,N/A,100
SVR,r2,0.44019047276436823,0.025121648121701333,word,"(1, 3)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4393484206948412,0.02218536642849005,word,"(1, 6)",No,True,linear,N/A,100
SVR,r2,0.41864791569703963,0.027530768253082125,word,"(1, 6)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.2577604656104403,0.047674732499636795,word,"(1, 1)",No,False,linear,N/A,100
SVR,r2,0.23556544310553496,0.04053317998003983,word,"(1, 1)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.44778983328412175,0.022510073566120982,word,"(1, 3)",No,False,linear,N/A,100
SVR,r2,0.4368241425544932,0.02401786302837133,word,"(1, 3)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.45517917008019504,0.022404030962106247,word,"(1, 6)",No,False,linear,N/A,100
SVR,r2,0.431527372248454,0.026849466784192665,word,"(1, 6)",Yes (n=232),False,linear,N/A,100
SVR,r2,0.5808768329277358,0.02799949916510401,char,"(1, 9)",Yes (n=232),True,linear,N/A,1
SVR,r2,0.5732676668119752,0.027906230086764846,char,"(1, 9)",Yes (n=232),False,linear,N/A,1
SVR,r2,0.5281816117369046,0.02238394967070932,char,"(1, 9)",Yes (n=232),True,linear,N/A,10
SVR,r2,0.5612870137739991,0.02511345248015678,char,"(1, 9)",Yes (n=232),False,linear,N/A,10
SVR,r2,0.4497157199908816,0.02140097249548805,char,"(1, 9)",Yes (n=232),True,linear,N/A,100
SVR,r2,0.4706664974538205,0.017502637180272434,char,"(1, 9)",Yes (n=232),False,linear,N/A,100
