svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
10.0,0.15,poly,char,"(2, 6)",rmstop_clean_stem,-1.8289884299298984,0.04493492483141327,155,1.3281238675117493
10.0,0.15,poly,char,"(4, 12)",rmstop_clean_stem,-1.960571618448709,0.04491255607267604,195,2.5617324113845825
10.0,0.15,poly,char,"(6, 8)",rmstop_clean_stem,-1.9398589405205735,0.044425116782938395,174,0.9995212554931641
10.0,0.25,linear,char,"(1, 5)",rmstop_clean_stem,-1.6738413109288723,0.06529864139564787,101,1.2186262011528015
10.0,0.25,linear,char,"(2, 6)",rmstop_clean_stem,-1.6527468240723657,0.057915067801493206,92,1.3359087705612183
10.0,0.25,linear,char,"(4, 12)",rmstop_clean_stem,-1.61179912026787,0.0475814012968853,77,2.4333911538124084
10.0,0.25,linear,char,"(6, 8)",rmstop_clean_stem,-1.6515032921442576,0.04289479286735455,91,0.9842733144760132
10.0,0.25,rbf,char,"(1, 5)",rmstop_clean_stem,-1.5458753246131902,0.025941252742939402,25,1.1707488298416138
10.0,0.25,rbf,char,"(2, 6)",rmstop_clean_stem,-1.5496560032626154,0.026810909203312142,26,1.2565829157829285
10.0,0.25,rbf,char,"(4, 12)",rmstop_clean_stem,-1.6060098733936834,0.025240619955810076,71,2.449129104614258
10.0,0.25,rbf,char,"(6, 8)",rmstop_clean_stem,-1.6111651219660381,0.026095499114628263,76,0.9663974046707153
10.0,0.25,poly,char,"(1, 5)",rmstop_clean_stem,-1.7065600037860178,0.03463898701424098,125,1.172406554222107
10.0,0.25,poly,char,"(2, 6)",rmstop_clean_stem,-1.8365073793239788,0.04446947158085575,163,1.3515087962150574
10.0,0.25,poly,char,"(4, 12)",rmstop_clean_stem,-1.9666837037289047,0.04387066096875097,202,2.5076794028282166
10.0,0.25,poly,char,"(6, 8)",rmstop_clean_stem,-1.9467760734118595,0.04273466908942629,181,0.9296783208847046
