svr__C,svr__epsilon,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,0.05,rbf,word,"(1, 5)",clean_and_stem_text,-1.7311251898172373,0.0440274349501444,362,0.2851741313934326
1.0,0.05,rbf,word,"(1, 5)",rmstop_clean_stem,-1.7151738357313553,0.037929180189427675,332,0.31252098083496094
1.0,0.05,rbf,word,"(2, 6)",<lambda>,-1.9781457695457605,0.05388541370236816,647,0.20704638957977295
1.0,0.05,rbf,word,"(2, 6)",clean_text,-1.9785334425196623,0.05405028096479348,648,0.21095144748687744
1.0,0.05,rbf,word,"(2, 6)",clean_and_stem_text,-1.9715961508657442,0.050605964424988104,636,0.29298752546310425
1.0,0.05,rbf,word,"(2, 6)",rmstop_clean_stem,-1.9713595714361831,0.05271860964693883,635,0.3008001446723938
1.0,0.05,poly,word,"(1, 1)",<lambda>,-1.876674884601994,0.06071637495146061,533,0.08594280481338501
1.0,0.05,poly,word,"(1, 1)",clean_text,-1.8770630009429927,0.06100254232372374,534,0.09375619888305664
1.0,0.05,poly,word,"(1, 1)",clean_and_stem_text,-1.8733185047016865,0.06301595728214045,528,0.1718863844871521
1.0,0.05,poly,word,"(1, 1)",rmstop_clean_stem,-1.860306386781925,0.06098673777843322,525,0.18751275539398193
1.0,0.05,poly,word,"(1, 2)",<lambda>,-2.023149901566767,0.052878220722037135,718,0.14063405990600586
1.0,0.05,poly,word,"(1, 2)",clean_text,-2.0233989667641894,0.05291639178267369,719,0.12891381978988647
1.0,0.05,poly,word,"(1, 2)",clean_and_stem_text,-2.0217597616652254,0.05228222183691184,716,0.20704710483551025
1.0,0.05,poly,word,"(1, 2)",rmstop_clean_stem,-2.012903851448548,0.05272385911033481,701,0.22267282009124756
1.0,0.05,poly,word,"(1, 5)",<lambda>,-2.1005073431232173,0.049346436958770945,828,0.21485859155654907
1.0,0.05,poly,word,"(1, 5)",clean_text,-2.1006268633026877,0.049391314782615124,833,0.21876108646392822
1.0,0.05,poly,word,"(1, 5)",clean_and_stem_text,-2.0991384382244105,0.04786771024560301,821,0.29689449071884155
1.0,0.05,poly,word,"(1, 5)",rmstop_clean_stem,-2.092337275235102,0.04733873507404288,782,0.3047093152999878
1.0,0.05,poly,word,"(2, 6)",<lambda>,-2.1043156559627176,0.040203572698987645,867,0.22267121076583862
1.0,0.05,poly,word,"(2, 6)",clean_text,-2.1046345486161813,0.04035337249735502,868,0.22267138957977295
1.0,0.05,poly,word,"(2, 6)",clean_and_stem_text,-2.1026764178062645,0.03838520801661987,857,0.2773609161376953
1.0,0.05,poly,word,"(2, 6)",rmstop_clean_stem,-2.094350000089472,0.038174222257095276,793,0.2968940734863281
1.0,0.05,sigmoid,word,"(1, 1)",<lambda>,-1.5859051941812852,0.0381349694570437,281,0.09766250848770142
1.0,0.05,sigmoid,word,"(1, 1)",clean_text,-1.5864166567875382,0.03767145577383744,282,0.09766227006912231
1.0,0.05,sigmoid,word,"(1, 1)",clean_and_stem_text,-1.5963810001009402,0.03154501621297415,287,0.175792396068573
1.0,0.05,sigmoid,word,"(1, 1)",rmstop_clean_stem,-1.5979251530254386,0.04115781184697787,288,0.19532418251037598
1.0,0.05,sigmoid,word,"(1, 2)",<lambda>,-1.5526672473088257,0.049328251759209865,195,0.1367276906967163
1.0,0.05,sigmoid,word,"(1, 2)",clean_text,-1.5532527063058406,0.04965675767101067,198,0.14844810962677002
1.0,0.05,sigmoid,word,"(1, 2)",clean_and_stem_text,-1.5593836503789027,0.050429822256025374,242,0.2304844856262207
1.0,0.05,sigmoid,word,"(1, 2)",rmstop_clean_stem,-1.567579929163259,0.050107180059443285,260,0.2226712703704834
1.0,0.05,sigmoid,word,"(1, 5)",<lambda>,-1.5614346304464213,0.05223692437773997,248,0.2304844856262207
1.0,0.05,sigmoid,word,"(1, 5)",clean_text,-1.5619339062561168,0.05247442375834822,249,0.26564300060272217
1.0,0.05,sigmoid,word,"(1, 5)",clean_and_stem_text,-1.5681045549997914,0.049328784560148824,263,0.3242391347885132
1.0,0.05,sigmoid,word,"(1, 5)",rmstop_clean_stem,-1.5776624805084558,0.04564722036329191,277,0.3008015751838684
1.0,0.05,sigmoid,word,"(2, 6)",<lambda>,-1.7630094350530365,0.036565723690909865,424,0.22657698392868042
1.0,0.05,sigmoid,word,"(2, 6)",clean_text,-1.7634588815896826,0.03661523121534333,425,0.22657710313796997
1.0,0.05,sigmoid,word,"(2, 6)",clean_and_stem_text,-1.7640085741813532,0.035339345849466804,426,0.3242385983467102
1.0,0.05,sigmoid,word,"(2, 6)",rmstop_clean_stem,-1.7726214894687782,0.034915849426702145,453,0.28517377376556396
1.0,0.1,linear,word,"(1, 1)",<lambda>,-1.5445142398567677,0.045472187300091206,180,0.08985048532485962
1.0,0.1,linear,word,"(1, 1)",clean_text,-1.5454688178006437,0.04564884265685795,181,0.0898505449295044
1.0,0.1,linear,word,"(1, 1)",clean_and_stem_text,-1.557545729127801,0.0400852769520914,229,0.17188537120819092
1.0,0.1,linear,word,"(1, 1)",rmstop_clean_stem,-1.5574162715199054,0.04341999431980458,227,0.19923299551010132
1.0,0.1,linear,word,"(1, 2)",<lambda>,-1.5417523910440987,0.04783662727896229,164,0.1211012601852417
1.0,0.1,linear,word,"(1, 2)",clean_text,-1.5423499011597452,0.04800601322500498,171,0.13672703504562378
1.0,0.1,linear,word,"(1, 2)",clean_and_stem_text,-1.5483085832861918,0.04833237807110914,184,0.21485817432403564
1.0,0.1,linear,word,"(1, 2)",rmstop_clean_stem,-1.5536462312162855,0.04702132729320993,200,0.20704644918441772
1.0,0.1,linear,word,"(1, 5)",<lambda>,-1.5544564059433694,0.052834918274138845,203,0.2187654972076416
1.0,0.1,linear,word,"(1, 5)",clean_text,-1.5549782669578294,0.05300528431824679,206,0.21485823392868042
1.0,0.1,linear,word,"(1, 5)",clean_and_stem_text,-1.559010824576342,0.0500332079172198,238,0.296894371509552
1.0,0.1,linear,word,"(1, 5)",rmstop_clean_stem,-1.5635238171932357,0.045042124728253675,251,0.2968921661376953
1.0,0.1,linear,word,"(2, 6)",<lambda>,-1.7543561807464807,0.03213510564302626,392,0.19532620906829834
1.0,0.1,linear,word,"(2, 6)",clean_text,-1.7548862478155083,0.03209398323766001,398,0.21876484155654907
